analysis,scope,case,method,metric,value,reference,reference_value,absolute_error,relative_error
energy,tensor_strength_sweep,0.04,DKB B-spline,relative_error_vs_shooting,0.812255459979,shooting,0.812260562747,5.10276743704e-06,6.28218046163e-06
energy,tensor_strength_sweep,0.04,All methods,cross_method_spread,6.22449684706e-06,max(method energy)-min(method energy),,6.22449684706e-06,
energy,tensor_strength_sweep,0.08,Finite difference,relative_error_vs_shooting,0.825817014823,shooting,0.82582261005,5.59522737686e-06,6.77533807959e-06
energy,tensor_strength_sweep,0.08,Chebyshev,relative_error_vs_shooting,0.825822610872,shooting,0.82582261005,8.21517409655e-10,9.94786773402e-10
energy,tensor_strength_sweep,0.08,DKB B-spline,relative_error_vs_shooting,0.825817828046,shooting,0.82582261005,4.78200466325e-06,5.79059546815e-06
energy,tensor_strength_sweep,0.08,All methods,cross_method_spread,5.59604889427e-06,max(method energy)-min(method energy),,5.59604889427e-06,
energy,tensor_strength_sweep,0.12,Finite difference,relative_error_vs_shooting,0.839148955572,shooting,0.839153915876,4.96030449437e-06,5.91107829032e-06
energy,tensor_strength_sweep,0.12,Chebyshev,relative_error_vs_shooting,0.839153916965,shooting,0.839153915876,1.08859343761e-09,1.2972512158e-09
energy,tensor_strength_sweep,0.12,DKB B-spline,relative_error_vs_shooting,0.839149518321,shooting,0.839153915876,4.39755556625e-06,5.24046361824e-06
energy,tensor_strength_sweep,0.12,All methods,cross_method_spread,4.96139308781e-06,max(method energy)-min(method energy),,4.96139308781e-06,
wavefunction,P1_kappa_minus_1,FD vs shooting,FD vs shooting,L2_difference,0.00137528446208,shooting,0.999989678537,0.00137528446208,1.03214628048e-05
wavefunction,P1_kappa_minus_1,Chebyshev vs shooting,Chebyshev vs shooting,L2_difference,0.00114532800501,shooting,0.999514239682,0.00114532800501,0.000485760317587
resolution,P1_kappa_minus_1,200,Finite difference,absolute_error_vs_shooting,8.31387652208e-05,shooting,0.798574986432,8.31387652208e-05,0.000104108902274
resolution,P1_kappa_minus_1,300,Finite difference,absolute_error_vs_shooting,3.70605692233e-05,shooting,0.798574986432,3.70605692233e-05,4.64083772381e-05
resolution,P1_kappa_minus_1,450,Finite difference,absolute_error_vs_shooting,1.65053560104e-05,shooting,0.798574986432,1.65053560104e-05,2.0668511149e-05
resolution,P1_kappa_minus_1,650,Finite difference,absolute_error_vs_shooting,7.92114456494e-06,shooting,0.798574986432,7.92114456494e-06,9.91909926997e-06
resolution,P1_kappa_minus_1,900,Finite difference,absolute_error_vs_shooting,4.13511748043e-06,shooting,0.798574986432,4.13511748043e-06,5.17812046544e-06
resolution,P1_kappa_minus_1,1200,Finite difference,absolute_error_vs_shooting,2.32726208071e-06,shooting,0.798574986432,2.32726208071e-06,2.91426869143e-06
resolution,P1_kappa_minus_1,40,Chebyshev,absolute_error_vs_shooting,3.05398505818e-07,shooting,0.798574986432,3.05398505818e-07,3.82429341022e-07
resolution,P1_kappa_minus_1,60,Chebyshev,absolute_error_vs_shooting,1.78589665278e-09,shooting,0.798574986432,1.78589665278e-09,2.23635436011e-09
resolution,P1_kappa_minus_1,80,Chebyshev,absolute_error_vs_shooting,7.32969240858e-10,shooting,0.798574986432,7.32969240858e-10,9.17846480682e-10
resolution,P1_kappa_minus_1,100,Chebyshev,absolute_error_vs_shooting,4.82782258615e-10,shooting,0.798574986432,4.82782258615e-10,6.04554696575e-10
resolution,P1_kappa_minus_1,120,Chebyshev,absolute_error_vs_shooting,3.44457240509e-10,shooting,0.798574986432,3.44457240509e-10,4.31339882116e-10
resolution,P1_kappa_minus_1,160,Chebyshev,absolute_error_vs_shooting,2.02163286112e-10,shooting,0.798574986432,2.02163286112e-10,2.53155044356e-10
resolution,P1_kappa_minus_1,28,DKB B-spline,absolute_error_vs_shooting,4.3734810145e-05,shooting,0.798574986432,4.3734810145e-05,5.47660656645e-05
resolution,P1_kappa_minus_1,34,DKB B-spline,absolute_error_vs_shooting,2.73164778519e-06,shooting,0.798574986432,2.73164778519e-06,3.42065282735e-06
resolution,P1_kappa_minus_1,40,DKB B-spline,absolute_error_vs_shooting,5.40873714383e-06,shooting,0.798574986432,5.40873714383e-06,6.77298592584e-06
resolution,P1_kappa_minus_1,46,DKB B-spline,absolute_error_vs_shooting,5.27489534974e-06,shooting,0.798574986432,5.27489534974e-06,6.60538514148e-06
resolution,P1_kappa_minus_1,52,DKB B-spline,absolute_error_vs_shooting,9.46156341541e-06,shooting,0.798574986432,9.46156341541e-06,1.1848058825e-05
resolution,P1_kappa_minus_1,58,DKB B-spline,absolute_error_vs_shooting,4.19028358201e-06,shooting,0.798574986432,4.19028358201e-06,5.24720114354e-06
domain,P1_kappa_minus_1,15,Shooting,absolute_error_vs_rmax_35,0.798574931263,shooting at largest rmax,0.798574986432,5.51689046668e-08,6.90841882155e-08
domain,P1_kappa_minus_1,20,Shooting,absolute_error_vs_rmax_35,0.798574986333,shooting at largest rmax,0.798574986432,9.89793802475e-11,1.23945004451e-10
domain,P1_kappa_minus_1,25,Shooting,absolute_error_vs_rmax_35,0.798574986432,shooting at largest rmax,0.798574986432,3.56825680115e-13,4.46828020132e-13
domain,P1_kappa_minus_1,30,Shooting,absolute_error_vs_rmax_35,0.798574986432,shooting at largest rmax,0.798574986432,1.75859327101e-13,2.20216423114e-13
domain,P1_kappa_minus_1,35,Shooting,absolute_error_vs_rmax_35,0.798574986432,shooting at largest rmax,0.798574986432,0,0
spurious_state,P1_kappa_minus_1_centered_FD,0.7985708513144871,Finite difference,alternation_fraction,0,zero for smooth physical branch,0,0,
spurious_state,P1_kappa_minus_1_centered_FD,0.972555050324958,Finite difference,alternation_fraction,1,zero for smooth physical branch,0,1,
